Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160502, 146.559998, 147, 144.429993, 145.270004, 3502400, 141.36697, 0, 1, 143.963484, -999
20160429, 146.490005, 147.339996, 144.190002, 145.940002, 4225800, 142.018967, 0, 1, 144.254486, -999
20160428, 149.75, 150.179993, 146.729996, 147.070007, 3791500, 143.118611, 0, 1, 146.4343055, -999
20160427, 149.350006, 150.779999, 148.970001, 150.470001, 3111200, 146.427256, 0, 1, 147.888631, -999
20160426, 148.649994, 149.789993, 147.899994, 149.080002, 2979800, 145.074602, 0, 1, 146.862298, -999
20160425, 148.160004, 148.899994, 147.110001, 148.809998, 2848900, 144.811852, 0, 1, 146.485928, -999
20160422, 149.440002, 151, 147.5, 148.5, 5191900, 144.510184, 0, 1, 146.975093, -999
20160421, 146.580002, 150.119995, 146.460007, 149.300003, 6017700, 145.288693, 0, 1, 145.9343475, -999
20160420, 144.240005, 147.199997, 144, 146.110001, 6754300, 142.184398, 0, 1, 143.2122015, -999
20160419, 146.470001, 146.949997, 142.610001, 144, 13190200, 140.131087, 0, 1, 143.300544, -999
20160418, 151.720001, 153.139999, 151.490005, 152.529999, 5737700, 148.431907, 0, 1, 150.075954, -999
20160415, 151.039993, 152.100006, 150.960007, 151.720001, 3657600, 147.643672, 0, 1, 149.3418325, -999
20160414, 151.5, 152.759995, 150.380005, 151.160004, 3176500, 147.09872, 0, 1, 149.29936, -999
20160413, 150.75, 151.229996, 149.630005, 151.229996, 3168400, 147.166831, 0, 1, 148.9584155, -999
20160412, 149.610001, 150.110001, 148.580002, 149.630005, 3595800, 145.609828, 0, 1, 147.6099145, -999
20160411, 150.259995, 151.949997, 149.220001, 149.25, 3846100, 145.240033, 0, 1, 147.750014, -999
20160408, 149.059998, 149.990005, 148.119995, 149.350006, 3293800, 145.337352, 0, 1, 147.198675, -999
20160407, 149.070007, 149.600006, 148, 148.25, 3663000, 144.266901, 0, 1, 146.668454, -999
20160406, 149.899994, 150.149994, 147.809998, 150.020004, 4194600, 145.989349, 0, 1, 147.9446715, -999
20160405, 151.429993, 151.600006, 149.649994, 150, 3337000, 145.969883, 0, 1, 148.699938, -999
20160404, 152.339996, 153.520004, 151.910004, 152.070007, 3931200, 147.984274, 0, 1, 150.162135, -999
20160401, 150.509995, 152.960007, 150.25, 152.520004, 3925500, 148.422181, 0, 1, 149.466088, -999
20160331, 149.789993, 153.100006, 149.360001, 151.449997, 6780600, 147.380922, 0, 1, 148.5854575, -999
20160330, 149.949997, 150.410004, 148.320007, 148.410004, 3331200, 144.422605, 0, 1, 147.186301, -999
20160329, 147.589996, 149.759995, 147.5, 149.330002, 3138500, 145.317886, 0, 1, 146.453941, -999
20160328, 147.75, 148.649994, 147.229996, 148.399994, 3265100, 144.412865, 0, 1, 146.0814325, -999
20160324, 144.979996, 148.220001, 144.490005, 147.949997, 5044500, 143.974958, 0, 1, 144.477477, -999
20160323, 148, 148.029999, 145.130005, 145.399994, 4764200, 141.493467, 0, 1, 144.7467335, -999
20160322, 148.059998, 149.279999, 147.839996, 148.100006, 4081900, 144.120937, 0, 1, 146.0904675, -999
20160321, 147.300003, 148.710007, 146.720001, 148.630005, 3721600, 144.636696, 0, 1, 145.9683495, -999
20160318, 147.399994, 147.509995, 145.509995, 147.089996, 12089700, 143.138063, 0, 1, 145.2690285, -999
20160317, 144.779999, 147.320007, 144.449997, 147.039993, 5821600, 143.089404, 0, 1, 143.9347015, -999
20160316, 142.619995, 144.880005, 142.110001, 144.789993, 4221900, 140.899855, 0, 1, 141.759925, -999
20160315, 141.740005, 143.330002, 141.539993, 142.960007, 3707500, 139.119036, 0, 1, 140.4295205, -999
20160314, 142.009995, 143.190002, 141.039993, 142.779999, 4048800, 138.943864, 0, 1, 140.4769295, -999
20160311, 141.729996, 142.919998, 140.509995, 142.360001, 4421900, 138.535151, 0, 1, 140.1325735, -999
20160310, 141.240005, 141.470001, 138.089996, 140.190002, 4020600, 136.423455, 0, 1, 138.83173, -999
20160309, 139.309998, 142.169998, 139.229996, 140.410004, 4406500, 136.637545, 0, 1, 137.9737715, -999
20160308, 139.710007, 140.350006, 137.419998, 139.070007, 5579100, 135.333551, 0, 1, 137.521779, -999
20160307, 137.279999, 140.509995, 136.869995, 140.149994, 5171000, 136.384521, 0, 1, 136.83226, -999
